shrid2,connected_villages,num_connected_villages,num_connected_roads,road_index
11-24-481-03856-516391,"['11-24-481-03856-516385', '11-24-481-03856-516390']",2,1,[1874]
11-24-481-03857-516443,"['11-24-481-03857-516455', '11-24-481-03857-516442', '11-24-481-03857-516444']",3,1,[968]
11-24-481-03857-516455,"['11-24-481-03857-516444', '11-24-481-03857-516442', '11-24-481-03857-516443']",3,1,[968]
11-24-481-03859-516644,['11-24-481-03859-516653'],1,1,[171]
11-24-481-03860-516675,"['11-24-481-03860-516676', '11-24-481-03860-516694']",2,1,[1871]
11-24-481-03860-516676,"['11-24-481-03860-516675', '11-24-481-03860-516694']",2,1,[1871]
11-24-481-03860-516695,['11-24-481-03860-516704'],1,1,[972]
11-24-481-03860-516698,['11-24-481-03860-516700'],1,1,[973]
11-24-481-03860-516700,['11-24-481-03860-516698'],1,2,"[973, 977]"
11-24-481-03860-516770,"['11-24-481-03860-516771', '11-24-481-03860-516754']",2,1,[1870]
11-24-482-03862-516864,"['11-24-482-03862-516866', '11-24-482-03862-516865', '11-24-482-03865-516966', '11-24-482-03865-516969', '11-24-482-03865-516967', '11-24-482-03862-802558']",6,1,[139]
11-24-482-03863-516900,"['11-24-482-03863-516887', '11-24-482-03863-802559']",2,1,[733]
11-24-482-03863-516905,"['11-24-486-03897-519768', '11-24-482-03864-516918']",2,2,"[86, 110]"
11-24-482-03863-516907,"['11-24-482-03864-516919', '11-24-486-03897-519768']",2,2,"[419, 732]"
11-24-482-03864-516913,['11-24-482-03864-516910'],1,2,"[743, 1822]"
11-24-482-03864-516919,"['11-24-482-03864-516931', '11-24-486-03897-519768', '11-24-482-03863-516907']",3,2,"[732, 914]"
11-24-482-03864-516924,[],0,1,[1824]
11-24-482-03864-516931,"['11-24-482-03864-516932', '11-24-482-03864-516919']",2,2,"[914, 915]"
11-24-482-03864-516932,['11-24-482-03864-516931'],1,1,[915]
11-24-482-03864-516934,"['11-24-482-03864-802562', '11-24-482-03864-516946', '11-24-482-03864-516929']",3,1,[1823]
11-24-482-03864-516940,['11-24-482-03864-516944'],1,1,[1825]
11-24-482-03864-516944,['11-24-482-03864-516940'],1,1,[1825]
11-24-482-03865-516948,"['11-24-483-03876-517634', '11-24-483-03876-517633']",2,1,[1564]
11-24-482-03865-516956,['11-24-482-03865-516950'],1,1,[926]
11-24-482-03865-516966,"['11-24-482-03862-516866', '11-24-482-03862-516865', '11-24-482-03862-516864', '11-24-482-03865-516969', '11-24-482-03865-516967', '11-24-482-03862-802558']",6,1,[139]
11-24-482-03865-516969,"['11-24-482-03862-516866', '11-24-482-03862-516865', '11-24-482-03865-516966', '11-24-482-03862-516864', '11-24-482-03865-516967', '11-24-482-03862-802558']",6,1,[139]
11-24-482-03865-516979,"['11-24-482-03865-516986', '11-24-482-03865-802566']",2,1,[1835]
11-24-482-03865-517001,"['11-24-482-03867-517088', '11-24-482-03867-517083', '11-24-482-03867-517084']",3,2,"[1620, 1816]"
