shrid2,connected_villages,num_connected_villages,num_connected_roads,road_index
11-24-493-03944-524589,"['11-24-493-03944-524579', '11-24-493-03944-524580', '11-24-493-03944-524574', '11-24-493-03944-524577', '11-24-493-03944-524591', '11-24-493-03944-524575', '11-24-493-03944-524590']",7,1,[470]
11-24-493-03944-524590,"['11-24-493-03944-524579', '11-24-493-03944-524580', '11-24-493-03944-524574', '11-24-493-03944-524577', '11-24-493-03944-524591', '11-24-493-03944-524589', '11-24-493-03944-524575']",7,2,"[470, 1181]"
11-24-493-03944-524595,"['11-24-493-03945-524738', '11-24-493-03944-524594', '11-24-493-03944-524593']",3,1,[2120]
11-24-493-03944-524607,"['11-24-493-03944-802635', '11-24-493-03944-524608', '11-24-493-03944-524602']",3,1,[2113]
11-24-493-03944-524650,"['11-24-493-03944-524646', '11-24-493-03945-524789']",2,2,"[1111, 2304]"
11-24-493-03945-524718,['11-24-493-03945-524720'],1,1,[1666]
11-24-493-03945-524723,[],0,1,[1107]
11-24-493-03945-524736,['11-24-493-03945-524735'],1,1,[2134]
11-24-493-03945-524743,"['11-24-493-03945-524745', '11-24-493-03946-524870', '11-24-493-03945-524744', '11-24-493-03945-524733']",4,2,"[1748, 1749]"
11-24-493-03945-524745,"['11-24-493-03945-524743', '11-24-493-03946-524870', '11-24-493-03945-524733']",3,2,"[1198, 1749]"
11-24-493-03945-524760,['11-24-493-03945-524769'],1,5,"[195, 581, 1411, 1579, 1580]"
11-24-493-03945-524771,"['11-24-493-03945-524776', '11-24-493-03944-524647', '11-24-493-03944-524648']",3,1,[2121]
11-24-493-03945-524780,"['11-24-493-03946-524895', '11-24-493-03945-524779']",2,3,"[1193, 1395, 1396]"
11-24-493-03945-524790,['11-24-493-03945-524796'],1,4,"[851, 1588, 1750, 1751]"
11-24-493-03945-524798,"['11-24-493-03945-524797', '11-24-493-03945-524788']",2,4,"[626, 627, 1664, 2125]"
11-24-493-03945-524800,"['11-24-493-03945-524801', '11-24-493-03945-524812', '11-24-493-03945-524813', '11-24-493-03945-524814']",4,1,[2131]
11-24-493-03945-524807,"['11-24-492-03941-524405', '11-24-493-03945-524806', '11-24-492-03941-524407', '11-24-492-03941-524406', '11-24-492-03941-524404']",5,2,"[829, 1636]"
11-24-493-03945-524812,"['11-24-493-03945-524825', '11-24-493-03945-524800', '11-24-493-03945-524801', '11-24-493-03945-524814', '11-24-493-03945-524829', '11-24-493-03945-524827', '11-24-493-03945-524828', '11-24-493-03945-524824', '11-24-493-03945-524813', '11-24-493-03945-524826']",10,7,"[852, 1191, 1332, 1521, 1759, 2126, 2131]"
11-24-493-03945-524836,"['11-24-493-03945-524838', '11-24-493-03945-524841', '11-24-493-03945-524839', '11-24-493-03945-524837', '11-24-493-03945-524842']",5,4,"[1190, 1586, 1707, 2389]"
11-24-493-03945-524842,['11-24-493-03945-524836'],1,2,"[355, 1707]"
11-24-493-03945-524844,"['11-24-493-03945-524833', '11-24-493-03945-524830', '11-24-493-03945-524831', '11-24-493-03945-524809', '11-24-493-03945-524832', '11-24-493-03945-524843', '11-24-493-03945-524853']",7,9,"[308, 488, 496, 588, 1520, 1644, 1650, 1667, 2414]"
